,Country,Year,Indicator:Maternal mortality ratio (per 100 000 live births),Type_of_Medicine,Measure,Total_Sales_Value
330,Australia,2015,6,M01A-Antiinflammatory and antirheumatic products non-steroids,Million US$ at exchange rate,89.4
331,Australia,2015,6,N06A-Antidepressants,Million US$ at exchange rate,329.1
332,Australia,2015,6,N05B-Anxiolytics,"Million US$, purchasing power parity",26.5
333,Australia,2015,6,Total pharmaceutical sales,Million of national currency units,12284.0
334,Australia,2015,6,Total pharmaceutical sales,Million US$ at exchange rate,9228.5
335,Australia,2015,6,A10-Drugs used in diabetes,Million of national currency units,617.0
336,Australia,2015,6,N05B-Anxiolytics,Million US$ at exchange rate,29.3
337,Australia,2015,6,N06A-Antidepressants,"/capita, US$ exchange rate",13.8
338,Australia,2015,6,N06A-Antidepressants,"Million US$, purchasing power parity",297.2
339,Australia,2015,6,N06A-Antidepressants,% of total sales,3.6
340,Australia,2015,6,N06A-Antidepressants,"/capita, US$ purchasing power parity",12.5
341,Australia,2015,6,C03-Diuretics,% of total sales,0.4
342,Australia,2015,6,N05B-Anxiolytics,"/capita, US$ exchange rate",1.2
343,Australia,2015,6,M01A-Antiinflammatory and antirheumatic products non-steroids,% of total sales,1.0
344,Australia,2015,6,C03-Diuretics,"/capita, US$ purchasing power parity",1.2
345,Australia,2015,6,A10-Drugs used in diabetes,Million US$ at exchange rate,463.5
346,Australia,2015,6,C03-Diuretics,"Million US$, purchasing power parity",29.2
347,Australia,2015,6,C03-Diuretics,"/capita, US$ exchange rate",1.4
348,Australia,2015,6,N02-Analgesics,"Million US$, purchasing power parity",375.9
349,Australia,2015,6,C02-Antihypertensives,Million of national currency units,91.0
350,Australia,2015,6,N02-Analgesics,"/capita, US$ exchange rate",17.5
351,Australia,2015,6,M01A-Antiinflammatory and antirheumatic products non-steroids,"/capita, US$ purchasing power parity",3.4
352,Australia,2015,6,N02-Analgesics,Million of national currency units,554.0
353,Australia,2015,6,N02-Analgesics,Million US$ at exchange rate,416.2
354,Australia,2015,6,C02-Antihypertensives,"Million US$, purchasing power parity",61.7
355,Australia,2015,6,C02-Antihypertensives,Million US$ at exchange rate,68.4
356,Australia,2015,6,N02-Analgesics,"/capita, US$ purchasing power parity",15.8
357,Australia,2015,6,N02-Analgesics,% of total sales,4.5
358,Australia,2014,6,M-Musculo-skeletal system,Million of national currency units,383.0
359,Australia,2014,6,B-Blood and blood forming organs,Million of national currency units,545.0
360,Australia,2014,6,M-Musculo-skeletal system,Million US$ at exchange rate,345.2
361,Australia,2014,6,R03-Drugs for obstructive airway diseases,Million of national currency units,634.0
362,Australia,2014,6,R03-Drugs for obstructive airway diseases,Million US$ at exchange rate,571.5
363,Australia,2014,6,B-Blood and blood forming organs,Million US$ at exchange rate,491.3
364,Australia,2014,6,B-Blood and blood forming organs,"Million US$, purchasing power parity",375.2
365,Australia,2014,6,A02B-Drugs for peptic ulcer and gastro-oesophageal reflux diseases (GORD),Million US$ at exchange rate,479.6
366,Australia,2014,6,A02B-Drugs for peptic ulcer and gastro-oesophageal reflux diseases (GORD),"/capita, US$ exchange rate",20.4
367,Australia,2014,6,A02B-Drugs for peptic ulcer and gastro-oesophageal reflux diseases (GORD),"Million US$, purchasing power parity",366.3
368,Australia,2014,6,M-Musculo-skeletal system,"/capita, US$ exchange rate",14.7
369,Australia,2014,6,M-Musculo-skeletal system,"Million US$, purchasing power parity",263.7
370,Australia,2014,6,A02B-Drugs for peptic ulcer and gastro-oesophageal reflux diseases (GORD),Million of national currency units,532.0
371,Australia,2014,6,M-Musculo-skeletal system,"/capita, US$ purchasing power parity",11.2
372,Australia,2014,6,C09-Agents acting on the Renin-Angiotensin system,"/capita, US$ purchasing power parity",20.7
373,Australia,2014,6,C09-Agents acting on the Renin-Angiotensin system,% of total sales,5.9
374,Australia,2014,6,C09-Agents acting on the Renin-Angiotensin system,"/capita, US$ exchange rate",27.1
375,Australia,2014,6,B-Blood and blood forming organs,% of total sales,4.6
376,Australia,2014,6,B-Blood and blood forming organs,"/capita, US$ purchasing power parity",16.0
377,Australia,2014,6,B-Blood and blood forming organs,"/capita, US$ exchange rate",20.9
378,Australia,2014,6,R03-Drugs for obstructive airway diseases,"/capita, US$ purchasing power parity",18.6
379,Australia,2014,6,R03-Drugs for obstructive airway diseases,"/capita, US$ exchange rate",24.3
380,Australia,2014,6,R03-Drugs for obstructive airway diseases,"Million US$, purchasing power parity",436.5
381,Australia,2014,6,C09-Agents acting on the Renin-Angiotensin system,Million US$ at exchange rate,636.4
382,Australia,2014,6,R03-Drugs for obstructive airway diseases,% of total sales,5.3
383,Australia,2014,6,C09-Agents acting on the Renin-Angiotensin system,Million of national currency units,706.0
384,Australia,2014,6,C09-Agents acting on the Renin-Angiotensin system,"Million US$, purchasing power parity",486.1
385,Australia,2014,6,R-Respiratory system,"/capita, US$ exchange rate",25.3
386,Australia,2014,6,R-Respiratory system,Million US$ at exchange rate,594.0
387,Australia,2014,6,R-Respiratory system,"Million US$, purchasing power parity",453.7
388,Australia,2014,6,C08-Calcium channel blockers,Million of national currency units,119.0
389,Australia,2014,6,R-Respiratory system,"/capita, US$ purchasing power parity",19.3
390,Australia,2014,6,R-Respiratory system,% of total sales,5.5
391,Australia,2014,6,C07-Beta blocking agents,"Million US$, purchasing power parity",97.8
392,Australia,2014,6,C07-Beta blocking agents,Million of national currency units,142.0
393,Australia,2014,6,C07-Beta blocking agents,Million US$ at exchange rate,128.0
394,Australia,2014,6,C07-Beta blocking agents,"/capita, US$ exchange rate",5.5
395,Australia,2014,6,C07-Beta blocking agents,% of total sales,1.2
396,Australia,2014,6,R-Respiratory system,Million of national currency units,659.0
397,Australia,2014,6,C07-Beta blocking agents,"/capita, US$ purchasing power parity",4.2
398,Australia,2014,6,C08-Calcium channel blockers,Million US$ at exchange rate,107.3
399,Australia,2014,6,A-Alimentary tract and metabolism,"/capita, US$ exchange rate",51.9
400,Australia,2014,6,A-Alimentary tract and metabolism,"/capita, US$ purchasing power parity",39.6
401,Australia,2014,6,A-Alimentary tract and metabolism,"Million US$, purchasing power parity",930.1
402,Australia,2014,6,A02B-Drugs for peptic ulcer and gastro-oesophageal reflux diseases (GORD),% of total sales,4.5
403,Australia,2014,6,A02B-Drugs for peptic ulcer and gastro-oesophageal reflux diseases (GORD),"/capita, US$ purchasing power parity",15.6
404,Australia,2014,6,A-Alimentary tract and metabolism,% of total sales,11.4
405,Australia,2014,6,A-Alimentary tract and metabolism,Million US$ at exchange rate,1217.8
406,Australia,2014,6,C08-Calcium channel blockers,"/capita, US$ exchange rate",4.6
407,Australia,2014,6,C08-Calcium channel blockers,"/capita, US$ purchasing power parity",3.5
408,Australia,2014,6,C08-Calcium channel blockers,"Million US$, purchasing power parity",81.9
409,Australia,2014,6,A-Alimentary tract and metabolism,Million of national currency units,1351.0
410,Australia,2014,6,M-Musculo-skeletal system,% of total sales,3.2
411,Australia,2014,6,C08-Calcium channel blockers,% of total sales,1.0
412,Australia,2014,6,A02A-Antacids,% of total sales,0.0
413,Australia,2014,6,G-Genito urinary system and sex hormones,"/capita, US$ purchasing power parity",7.0
414,Australia,2014,6,G-Genito urinary system and sex hormones,% of total sales,2.0
415,Australia,2014,6,A02A-Antacids,"Million US$, purchasing power parity",0.7
416,Australia,2014,6,A02A-Antacids,"/capita, US$ purchasing power parity",0.0
417,Australia,2014,6,A02A-Antacids,"/capita, US$ exchange rate",0.0
418,Australia,2014,6,J-Antiinfectives for systemic use,Million of national currency units,801.0
419,Australia,2014,6,G-Genito urinary system and sex hormones,Million of national currency units,240.0
420,Australia,2014,6,C-Cardiovascular system,Million of national currency units,2200.0
421,Australia,2014,6,J-Antiinfectives for systemic use,Million US$ at exchange rate,722.0
422,Australia,2014,6,G-Genito urinary system and sex hormones,"Million US$, purchasing power parity",165.2
423,Australia,2014,6,G-Genito urinary system and sex hormones,"/capita, US$ exchange rate",9.2
424,Australia,2014,6,G-Genito urinary system and sex hormones,Million US$ at exchange rate,216.3
425,Australia,2014,6,A02A-Antacids,Million US$ at exchange rate,0.9
426,Australia,2014,6,G03-Sex hormones and modulators of the genital system,"Million US$, purchasing power parity",115.0
427,Australia,2014,6,G03-Sex hormones and modulators of the genital system,"/capita, US$ exchange rate",6.4
428,Australia,2014,6,G03-Sex hormones and modulators of the genital system,Million US$ at exchange rate,150.5
429,Australia,2014,6,"H-Systemic hormonal preparations, excluding sex hormones and insulins",Million of national currency units,168.0
430,Australia,2014,6,G03-Sex hormones and modulators of the genital system,% of total sales,1.4
431,Australia,2014,6,G03-Sex hormones and modulators of the genital system,"/capita, US$ purchasing power parity",4.9
432,Australia,2014,6,"H-Systemic hormonal preparations, excluding sex hormones and insulins",% of total sales,1.4
433,Australia,2014,6,"H-Systemic hormonal preparations, excluding sex hormones and insulins","/capita, US$ purchasing power parity",4.9
434,Australia,2014,6,A02A-Antacids,Million of national currency units,1.0
435,Australia,2014,6,"H-Systemic hormonal preparations, excluding sex hormones and insulins",Million US$ at exchange rate,151.4
436,Australia,2014,6,"H-Systemic hormonal preparations, excluding sex hormones and insulins","Million US$, purchasing power parity",115.7
437,Australia,2014,6,"H-Systemic hormonal preparations, excluding sex hormones and insulins","/capita, US$ exchange rate",6.5
438,Australia,2014,6,G03-Sex hormones and modulators of the genital system,Million of national currency units,167.0
439,Australia,2014,6,C10-Lipid modifying agents,"/capita, US$ purchasing power parity",30.1
440,Australia,2014,6,C10-Lipid modifying agents,"Million US$, purchasing power parity",707.8
441,Australia,2014,6,C10-Lipid modifying agents,"/capita, US$ exchange rate",39.5
442,Australia,2014,6,C10-Lipid modifying agents,% of total sales,8.6
443,Australia,2014,6,J01-Antibacterials for systemic use,% of total sales,2.7
444,Australia,2014,6,Products not elsewhere classified,% of total sales,30.4
445,Australia,2014,6,Products not elsewhere classified,"Million US$, purchasing power parity",2489.5
446,Australia,2014,6,Products not elsewhere classified,Million of national currency units,3616.0
447,Australia,2014,6,Products not elsewhere classified,Million US$ at exchange rate,3259.5
448,Australia,2014,6,Products not elsewhere classified,"/capita, US$ exchange rate",138.8
449,Australia,2014,6,C10-Lipid modifying agents,Million of national currency units,1028.0
450,Australia,2014,6,C10-Lipid modifying agents,Million US$ at exchange rate,926.7
451,Australia,2014,6,Products not elsewhere classified,"/capita, US$ purchasing power parity",106.0
452,Australia,2014,6,J01-Antibacterials for systemic use,"/capita, US$ purchasing power parity",9.4
453,Australia,2014,6,C-Cardiovascular system,% of total sales,18.5
454,Australia,2014,6,J-Antiinfectives for systemic use,"/capita, US$ exchange rate",30.8
455,Australia,2014,6,J-Antiinfectives for systemic use,"Million US$, purchasing power parity",551.5
456,Australia,2014,6,C-Cardiovascular system,"Million US$, purchasing power parity",1514.6
457,Australia,2014,6,C-Cardiovascular system,Million US$ at exchange rate,1983.1
458,Australia,2014,6,C-Cardiovascular system,"/capita, US$ purchasing power parity",64.5
459,Australia,2014,6,C-Cardiovascular system,"/capita, US$ exchange rate",84.5
460,Australia,2014,6,J01-Antibacterials for systemic use,"Million US$, purchasing power parity",220.3
461,Australia,2014,6,J01-Antibacterials for systemic use,Million US$ at exchange rate,288.5
462,Australia,2014,6,J01-Antibacterials for systemic use,"/capita, US$ exchange rate",12.3
463,Australia,2014,6,J-Antiinfectives for systemic use,"/capita, US$ purchasing power parity",23.5
464,Australia,2014,6,J-Antiinfectives for systemic use,% of total sales,6.7
465,Australia,2014,6,J01-Antibacterials for systemic use,Million of national currency units,320.0
466,Australia,2014,6,C01A-Cardiac glycosides,"/capita, US$ exchange rate",0.2
467,Australia,2014,6,C01A-Cardiac glycosides,"/capita, US$ purchasing power parity",0.1
468,Australia,2014,6,C01A-Cardiac glycosides,"Million US$, purchasing power parity",2.8
469,Australia,2014,6,"C01B-Antiarrhythmics, Class I and III",Million US$ at exchange rate,17.1
470,Australia,2014,6,"C01B-Antiarrhythmics, Class I and III","Million US$, purchasing power parity",13.1
471,Australia,2014,6,"C01B-Antiarrhythmics, Class I and III","/capita, US$ exchange rate",0.7
472,Australia,2014,6,"C01B-Antiarrhythmics, Class I and III","/capita, US$ purchasing power parity",0.6
473,Australia,2014,6,A10-Drugs used in diabetes,"/capita, US$ purchasing power parity",17.3
474,Australia,2014,6,C01A-Cardiac glycosides,% of total sales,0.0
475,Australia,2014,6,C03-Diuretics,Million US$ at exchange rate,34.3
476,Australia,2014,6,C03-Diuretics,Million of national currency units,38.0
477,Australia,2014,6,A10-Drugs used in diabetes,"/capita, US$ exchange rate",22.6
478,Australia,2014,6,C02-Antihypertensives,"/capita, US$ exchange rate",3.2
479,Australia,2014,6,C02-Antihypertensives,"/capita, US$ purchasing power parity",2.4
480,Australia,2014,6,C01A-Cardiac glycosides,Million US$ at exchange rate,3.6
481,Australia,2014,6,"C01B-Antiarrhythmics, Class I and III",Million of national currency units,19.0
482,Australia,2014,6,C01A-Cardiac glycosides,Million of national currency units,4.0
483,Australia,2014,6,C02-Antihypertensives,% of total sales,0.7
484,Australia,2014,6,N-Nervous system,"Million US$, purchasing power parity",1324.6
485,Australia,2014,6,N-Nervous system,Million US$ at exchange rate,1734.3
486,Australia,2014,6,N05C-Hypnotics and sedatives,Million US$ at exchange rate,18.9
487,Australia,2014,6,N05C-Hypnotics and sedatives,Million of national currency units,21.0
488,Australia,2014,6,N05B-Anxiolytics,% of total sales,0.3
489,Australia,2014,6,A10-Drugs used in diabetes,% of total sales,5.0
490,Australia,2014,6,N05B-Anxiolytics,Million of national currency units,33.0
491,Australia,2014,6,N05B-Anxiolytics,"/capita, US$ purchasing power parity",1.0
492,Australia,2014,6,N-Nervous system,Million of national currency units,1924.0
493,Australia,2014,6,N-Nervous system,% of total sales,16.2
494,Australia,2014,6,N-Nervous system,"/capita, US$ purchasing power parity",56.4
495,Australia,2014,6,"C01B-Antiarrhythmics, Class I and III",% of total sales,0.2
